Timestamp,Milliseconds,X,Y,Z
2019-12-16 18:11:57,3,-0.53503066,3.5925443,9.480368
2019-12-16 18:11:57,28,-0.6646488,3.2716444,9.203063
2019-12-16 18:11:57,53,-0.76762265,3.4577065,9.429763
2019-12-16 18:11:57,78,-0.60120994,3.1798472,9.482861
2019-12-16 18:11:57,103,-0.18773082,2.1671567,9.239138
2019-12-16 18:11:57,128,-0.147579,2.4303124,9.916644
2019-12-16 18:11:57,153,-0.28129235,2.522225,10.3507395
2019-12-16 18:11:57,179,-0.9424877,3.5951796,10.512531
2019-12-16 18:11:57,203,-1.9012249,3.8168006,8.991077
2019-12-16 18:11:57,228,0.030594625,4.2521257,9.404059
2019-12-16 18:11:58,254,0.26914027,3.21404,10.135864
2019-12-16 18:11:58,278,-0.3809484,2.7833843,9.62743
2019-12-16 18:11:58,303,-0.48807436,2.8411136,9.533305
2019-12-16 18:11:58,328,-0.486053,2.8194518,9.063685
2019-12-16 18:11:58,354,-2.1860857,1.5075443,8.122324
2019-12-16 18:11:58,379,-1.5394423,3.675417,7.210947
2019-12-16 18:11:58,403,-0.63966894,3.2765255,7.8962264
2019-12-16 18:11:58,428,-0.9178924,2.3162744,9.733259
2019-12-16 18:11:58,453,0.65553457,2.6430972,10.689679
2019-12-16 18:11:58,479,0.029120235,2.974813,9.761434
2019-12-16 18:11:58,503,0.29528928,3.2367332,9.505682
2019-12-16 18:11:58,528,0.7313148,2.7444515,8.65058
2019-12-16 18:11:58,554,-0.14200135,2.8220081,9.148327
2019-12-16 18:11:58,578,0.7901615,3.0571096,9.394207
2019-12-16 18:11:58,603,-0.0814708,3.7216594,9.449694
2019-12-16 18:11:58,628,1.8921959,2.2074769,8.837808
2019-12-16 18:11:58,654,2.6881657,2.332233,9.248359
2019-12-16 18:11:58,678,3.2219677,2.4512928,9.451258
2019-12-16 18:11:58,704,2.2720075,2.9663641,8.260123
2019-12-16 18:11:58,728,2.551255,3.4325638,6.87451
2019-12-16 18:11:58,753,3.2077863,3.3985546,6.6682997
2019-12-16 18:11:58,779,1.5816594,3.6219623,7.530337
2019-12-16 18:11:58,803,-1.7380892,5.849706,8.019078
2019-12-16 18:11:58,829,1.0999593,3.8683317,5.914839
2019-12-16 18:11:58,853,2.5795076,2.4383,5.5129924
2019-12-16 18:11:58,878,4.486206,2.673021,5.0657244
2019-12-16 18:11:58,904,6.163845,2.850632,6.1637263
2019-12-16 18:11:58,928,6.4933243,2.3024585,7.179019
2019-12-16 18:11:58,953,5.6000686,2.5628908,5.8610177
2019-12-16 18:11:58,978,5.3023005,2.5591688,4.6643667
2019-12-16 18:11:58,1003,6.304082,1.8174613,4.9100194
2019-12-16 18:11:58,1029,6.1232696,1.9464868,4.6747913
2019-12-16 18:11:58,1053,8.300667,1.4942763,3.3945906
2019-12-16 18:11:58,1078,7.8284345,0.99734896,2.4982612
2019-12-16 18:11:58,1104,7.926568,-0.23903172,2.248284
2019-12-16 18:11:58,1128,8.202861,-1.1556617,2.1271381
2019-12-16 18:11:58,1153,9.870459,-1.5880998,1.4760467
2019-12-16 18:11:58,1179,11.636067,-2.050258,2.4176066
2019-12-16 18:11:58,1203,10.743576,-2.8258743,2.1314504
2019-12-16 18:11:58,1228,10.984048,-3.9085853,1.2860558
2019-12-16 18:11:59,1253,14.021838,-3.9687133,1.1337273
2019-12-16 18:11:59,1278,14.423479,-3.9233818,2.105154
2019-12-16 18:11:59,1303,13.825797,-3.9577844,3.2376482
2019-12-16 18:11:59,1328,14.461133,-3.9611065,3.0156298
2019-12-16 18:11:59,1353,14.569025,-3.6387043,2.2713964
2019-12-16 18:11:59,1378,13.919234,-3.4044814,1.4822799
2019-12-16 18:11:59,1403,12.105278,-3.3872507,1.7259278
2019-12-16 18:11:59,1428,12.128987,-3.4994125,2.9471052
2019-12-16 18:11:59,1454,11.098253,-3.3712828,2.342698
2019-12-16 18:11:59,1478,10.664504,-3.3641467,1.7878542
2019-12-16 18:11:59,1503,10.310841,-3.1067417,1.9469839
2019-12-16 18:11:59,1528,9.914148,-3.0111287,1.4157481
2019-12-16 18:11:59,1553,9.268282,-2.3687022,-0.55293256
2019-12-16 18:11:59,1579,9.495926,-1.6447833,-1.0834874
2019-12-16 18:11:59,1603,9.649354,-1.1215656,-0.6890347
2019-12-16 18:11:59,1628,8.7605295,-0.74991405,0.376503
2019-12-16 18:11:59,1653,8.781397,-0.4505967,0.31444374
2019-12-16 18:11:59,1679,10.070467,0.20269674,-1.3177387
2019-12-16 18:11:59,1703,11.105586,1.077065,-2.8176355
2019-12-16 18:11:59,1728,10.501361,1.1403109,-3.1022549
2019-12-16 18:11:59,1754,10.697191,0.64344215,0.16248164
2019-12-16 18:11:59,1778,12.74435,0.6113085,0.21980861
2019-12-16 18:11:59,1803,12.569696,0.72451156,-1.174588
2019-12-16 18:11:59,1828,11.453099,0.477082,-0.2797483
2019-12-16 18:11:59,1854,12.016659,-0.27390298,4.4845514
2019-12-16 18:11:59,1878,15.5780115,0.017867925,4.170087
2019-12-16 18:11:59,1903,15.929771,0.170664,-0.64827657
2019-12-16 18:11:59,1929,15.209506,0.13845444,-0.35420054
2019-12-16 18:11:59,1953,16.740498,-0.094978556,1.9517438
2019-12-16 18:11:59,1978,18.020222,-0.44322577,1.8042734
2019-12-16 18:11:59,2004,18.055658,-0.5557374,1.6617355
2019-12-16 18:11:59,2028,17.989712,-0.6545854,1.754333
2019-12-16 18:11:59,2053,17.551949,-0.5544911,2.0755763
2019-12-16 18:11:59,2079,16.715376,-0.57366914,0.49919403
2019-12-16 18:11:59,2103,15.747743,-0.15823099,-0.03047083
2019-12-16 18:11:59,2128,14.381646,0.3717541,0.48059842
2019-12-16 18:11:59,2154,13.364406,0.54039377,1.1170399
2019-12-16 18:11:59,2178,12.342881,0.9469059,0.9046046
2019-12-16 18:11:59,2203,11.268068,1.0793991,0.51383233
2019-12-16 18:11:59,2229,9.286602,0.9778257,-0.34079975
2019-12-16 18:12:00,2253,8.112642,0.81307185,-0.6680232
2019-12-16 18:12:00,2278,7.0642967,1.0655779,-0.29696515
2019-12-16 18:12:00,2303,6.5830564,1.1969352,0.039400153
2019-12-16 18:12:00,2328,5.5730433,1.3030949,0.48738566
2019-12-16 18:12:00,2353,4.7351575,1.4248599,0.83919233
2019-12-16 18:12:00,2378,4.3659945,1.6252905,0.53139293
2019-12-16 18:12:00,2403,3.7257733,1.4750843,-0.012383495
2019-12-16 18:12:00,2429,3.1305394,1.3195376,-0.42194897
2019-12-16 18:12:00,2453,3.4699285,1.2598759,0.33135062
2019-12-16 18:12:00,2478,3.7440689,1.3190937,0.6662013
2019-12-16 18:12:00,2504,3.7469428,1.2413166,-0.32180637
2019-12-16 18:12:00,2528,3.5782588,1.178542,-0.52657783
2019-12-16 18:12:00,2553,3.6808221,1.2434382,-0.695184
2019-12-16 18:12:00,2579,4.5354853,1.1546965,-0.12654623
2019-12-16 18:12:00,2603,5.207378,0.9583509,-0.056309372
2019-12-16 18:12:00,2628,5.7279034,0.5615575,0.43460292
2019-12-16 18:12:00,2653,6.057271,0.21742284,0.3304166
2019-12-16 18:12:00,2679,7.327614,0.13415945,-0.017170137
2019-12-16 18:12:00,2703,8.888584,-0.11896368,0.14676253
2019-12-16 18:12:00,2728,9.857438,-0.31686145,0.7790075
2019-12-16 18:12:00,2754,11.1011305,-0.516015,0.50717455
2019-12-16 18:12:00,2778,12.830654,-0.8583257,-0.34116492
2019-12-16 18:12:00,2803,14.288102,-1.2608501,-0.38771972
2019-12-16 18:12:00,2828,15.543865,-1.4590863,0.098827645
2019-12-16 18:12:00,2854,16.369125,-2.0081866,0.8837842
2019-12-16 18:12:00,2878,17.671772,-2.5891285,0.9918634
2019-12-16 18:12:00,2903,18.044462,-2.8003445,0.7578973
2019-12-16 18:12:00,2929,18.718044,-2.8178473,1.9034463
2019-12-16 18:12:00,2953,18.09758,-2.851007,2.1218092
2019-12-16 18:12:00,2978,18.31373,-2.727364,0.20732754
2019-12-16 18:12:00,3004,17.519749,-2.0368564,0.18330325
2019-12-16 18:12:00,3028,16.324495,-1.4652317,0.94532675
2019-12-16 18:12:00,3053,16.33798,-0.673135,1.00205
2019-12-16 18:12:00,3078,15.158366,1.1251609,0.55282915
2019-12-16 18:12:00,3104,13.391698,2.1248074,-0.013214951
2019-12-16 18:12:00,3128,10.983947,2.4887264,-0.42824477
2019-12-16 18:12:00,3153,8.932809,2.4118125,0.94927293
2019-12-16 18:12:00,3179,8.869282,2.491646,0.6585502
2019-12-16 18:12:00,3203,8.679234,2.494666,-0.3255268
2019-12-16 18:12:00,3228,8.543309,2.8220193,-0.9496358
2019-12-16 18:12:01,3254,8.665607,3.1112478,-0.6691859
2019-12-16 18:12:01,3278,9.402526,2.7972353,0.52330816
2019-12-16 18:12:01,3303,11.341766,2.8888083,0.5771997
2019-12-16 18:12:01,3329,12.732956,2.8122416,-1.4538605
2019-12-16 18:12:01,3354,11.934893,2.5061793,-1.5838872
2019-12-16 18:12:01,3378,11.454925,2.1418314,0.042463247
2019-12-16 18:12:01,3403,11.90136,1.8166621,1.4794334
2019-12-16 18:12:01,3429,14.0132,1.6206052,1.3446615
2019-12-16 18:12:01,3453,14.7258415,1.6706616,1.1360992
2019-12-16 18:12:01,3478,15.788779,1.5477046,1.1301174
2019-12-16 18:12:01,3503,16.553747,1.239609,1.0669414
2019-12-16 18:12:01,3529,17.753311,1.4479192,1.1002021
2019-12-16 18:12:01,3553,18.682228,1.5599298,0.5626488
2019-12-16 18:12:01,3578,19.071125,1.5284325,-0.44054708
2019-12-16 18:12:01,3603,19.041704,1.4755456,-0.051749486
2019-12-16 18:12:01,3628,18.06619,1.1625115,0.3490455
2019-12-16 18:12:01,3653,17.088558,1.1693562,0.108891554
2019-12-16 18:12:01,3679,15.124149,1.0404638,-0.3839571
2019-12-16 18:12:01,3703,14.230777,0.6327134,-0.09334938
2019-12-16 18:12:01,3728,12.585834,0.690989,1.1954087
2019-12-16 18:12:01,3754,11.367333,0.9422882,1.4372655
2019-12-16 18:12:01,3778,10.002395,1.2351135,1.0873102
2019-12-16 18:12:01,3803,8.931122,0.94285434,0.3045332
2019-12-16 18:12:01,3829,6.8125315,0.3302099,-0.45479265
2019-12-16 18:12:01,3853,5.417366,0.114219606,-0.3710647
2019-12-16 18:12:01,3878,4.4899483,-0.12703523,-0.3257839
2019-12-16 18:12:01,3903,4.0358567,-0.0634698,0.4522643
2019-12-16 18:12:01,3929,3.7964451,0.16914232,-0.33301166
2019-12-16 18:12:01,3953,3.1605372,0.008423245,-1.3584275
2019-12-16 18:12:01,3979,2.7597904,-0.28926563,-1.1635985
2019-12-16 18:12:01,4003,2.7855072,-0.5865914,-0.49461398
2019-12-16 18:12:01,4028,2.9647658,-0.8267449,-0.17426151
2019-12-16 18:12:01,4054,2.952585,-0.8739465,-0.2915649
2019-12-16 18:12:01,4078,3.5214593,-1.0191067,-0.39942467
2019-12-16 18:12:01,4103,4.109448,-1.0436729,-0.8921999
2019-12-16 18:12:01,4128,5.0464816,-0.85459065,-0.45942155
2019-12-16 18:12:01,4154,7.5741825,-0.4821155,0.71624196
2019-12-16 18:12:01,4178,9.474589,-0.20739345,0.5829946
2019-12-16 18:12:01,4203,10.176676,-0.45763093,-0.4064628
2019-12-16 18:12:01,4228,10.692078,-0.7809226,-0.5002176
2019-12-16 18:12:02,4253,12.5913925,-1.0965165,-0.4571061
2019-12-16 18:12:02,4278,15.175132,-1.1660513,-0.22807872
2019-12-16 18:12:02,4303,16.719704,-1.1406507,0.18130025
2019-12-16 18:12:02,4328,19.32562,-1.1369119,1.231895
2019-12-16 18:12:02,4354,20.7308,-1.408175,2.2083678
2019-12-16 18:12:02,4378,19.769272,-1.3027774,2.8195677
2019-12-16 18:12:02,4403,20.209864,-0.41146132,2.185636
2019-12-16 18:12:02,4428,21.191847,1.3783393,2.8237004
2019-12-16 18:12:02,4454,17.344028,1.5410337,1.5176139
2019-12-16 18:12:02,4478,14.94281,1.1420854,-0.23043813
2019-12-16 18:12:02,4503,13.877867,0.9728219,-2.1985908
2019-12-16 18:12:02,4529,13.930336,1.3265339,-2.6443794
2019-12-16 18:12:02,4553,12.658522,1.3808559,-1.1594236
2019-12-16 18:12:02,4578,11.664887,1.2812392,1.5646585
2019-12-16 18:12:02,4603,12.046592,2.1389809,1.7445536
2019-12-16 18:12:02,4629,12.17164,3.0141587,0.8008676
2019-12-16 18:12:02,4653,11.228841,3.2023296,0.5514534
2019-12-16 18:12:02,4678,9.524138,2.8769293,1.4680172
2019-12-16 18:12:02,4703,8.301676,2.7292376,1.6690813
2019-12-16 18:12:02,4729,9.577143,3.0791228,1.0441144
2019-12-16 18:12:02,4753,10.505816,3.1542974,0.2990618
2019-12-16 18:12:02,4778,11.3920355,3.1022599,0.23015031
2019-12-16 18:12:02,4803,12.218454,3.1343398,0.358608
2019-12-16 18:12:02,4829,13.687842,3.199901,-0.1091202
2019-12-16 18:12:02,4853,15.06023,3.2135808,-0.062499266
2019-12-16 18:12:02,4878,16.361649,3.0100894,1.2298051
2019-12-16 18:12:02,4904,18.148067,2.4193242,2.0614846
2019-12-16 18:12:02,4928,18.669641,1.6151531,2.1588392
2019-12-16 18:12:02,4953,18.955791,0.95968276,2.978629
2019-12-16 18:12:02,4979,20.520657,0.6600004,3.5958576
2019-12-16 18:12:02,5003,21.54368,0.57989395,1.7418193
2019-12-16 18:12:02,5028,21.314867,0.20999303,0.8104539
2019-12-16 18:12:02,5053,19.694162,-0.7880923,1.6122795
2019-12-16 18:12:02,5079,17.851091,-1.8690255,1.8218445
2019-12-16 18:12:02,5103,15.382926,-2.308107,0.74546134
2019-12-16 18:12:02,5129,13.970733,-2.031408,0.59815925
2019-12-16 18:12:02,5153,11.956892,-2.1073947,0.7628189
2019-12-16 18:12:02,5179,9.815522,-2.0134957,1.3828499
2019-12-16 18:12:02,5203,7.945507,-1.7722124,1.2204162
2019-12-16 18:12:02,5229,5.7685776,-1.5860405,-0.27740148
2019-12-16 18:12:03,5253,4.435728,-1.283006,-0.35714614
2019-12-16 18:12:03,5278,3.816685,-1.1755304,-0.027509216
2019-12-16 18:12:03,5303,2.799768,-1.069686,-0.31847408
2019-12-16 18:12:03,5328,1.9064792,-1.0863259,-0.18943247
2019-12-16 18:12:03,5353,0.86289483,-1.2096188,-0.7735317
2019-12-16 18:12:03,5379,0.7374713,-1.1367536,-1.0145061
2019-12-16 18:12:03,5403,1.9372017,-0.865824,-0.26672763
2019-12-16 18:12:03,5429,2.5864015,-0.8443594,0.50485575
2019-12-16 18:12:03,5453,2.9739568,-0.7895887,0.75607014
2019-12-16 18:12:03,5478,4.5731297,-0.50274104,0.63946265
2019-12-16 18:12:03,5503,6.923287,-0.12984635,-0.2807574
2019-12-16 18:12:03,5529,8.019243,-0.42570066,-0.32507616
2019-12-16 18:12:03,5553,9.388938,-1.5159377,1.2383523
2019-12-16 18:12:03,5578,10.906039,-2.3750675,0.5326904
2019-12-16 18:12:03,5603,13.126574,-2.8401666,-2.1348011
2019-12-16 18:12:03,5629,15.464254,-2.6878898,-2.8323433
2019-12-16 18:12:03,5653,17.340843,-1.9345769,-0.77460223
2019-12-16 18:12:03,5678,18.236185,-0.97924954,3.2469494
2019-12-16 18:12:03,5703,18.60106,-0.36544004,5.036338
2019-12-16 18:12:03,5729,19.696703,0.24919945,3.3554707
2019-12-16 18:12:03,5753,18.963629,0.8261537,0.7868907
2019-12-16 18:12:03,5778,18.41879,0.9941661,0.81312305
2019-12-16 18:12:03,5804,18.254988,1.6154577,1.1314454
2019-12-16 18:12:03,5828,17.168524,2.1495886,0.28440672
2019-12-16 18:12:03,5853,16.446613,2.6006463,0.23973462
2019-12-16 18:12:03,5878,14.847047,3.2793376,1.0226979
2019-12-16 18:12:03,5904,13.483374,4.103636,1.789303
2019-12-16 18:12:03,5928,12.195508,4.68903,2.2911127
2019-12-16 18:12:03,5953,11.574588,4.971608,1.1280842
2019-12-16 18:12:03,5979,10.676833,5.2058616,0.057181768
2019-12-16 18:12:03,6003,10.269969,5.332646,-0.05273461
2019-12-16 18:12:03,6029,10.889325,5.5057344,7.186914E-4
2019-12-16 18:12:03,6053,10.800245,5.3628187,0.24177569
2019-12-16 18:12:03,6079,10.8670845,4.8221717,0.68201846
2019-12-16 18:12:03,6103,11.380342,4.1590767,1.0716487
2019-12-16 18:12:03,6128,12.743081,3.405133,0.30158982
2019-12-16 18:12:03,6154,13.202966,2.4785123,-0.6216669
