Timestamp,Milliseconds,X,Y,Z
2019-12-15 12:33:06,4,-0.20827863,4.094087,9.340116
2019-12-15 12:33:06,29,0.6382548,3.374563,8.948559
2019-12-15 12:33:06,53,0.5404895,3.2163727,9.845955
2019-12-15 12:33:06,78,0.56255203,3.8204834,9.351544
2019-12-15 12:33:06,104,1.6859758,4.5672884,9.066162
2019-12-15 12:33:06,129,0.9105911,4.3079896,10.197761
2019-12-15 12:33:06,154,0.2939963,4.435324,9.045435
2019-12-15 12:33:06,178,0.5334325,4.7388825,8.676515
2019-12-15 12:33:06,203,0.4199731,3.9644754,9.207782
2019-12-15 12:33:06,228,0.0016703911,2.873227,8.636885
2019-12-15 12:33:06,254,1.1757263,3.7012913,8.703943
2019-12-15 12:33:06,278,0.1384558,3.8102174,8.993615
2019-12-15 12:33:06,303,0.029981652,4.267128,8.703814
2019-12-15 12:33:06,328,0.30862024,4.1299644,8.506979
2019-12-15 12:33:06,354,0.84291416,4.1634355,8.031027
2019-12-15 12:33:06,378,1.2165647,4.151029,7.455067
2019-12-15 12:33:06,403,1.8051946,4.10967,8.20631
2019-12-15 12:33:06,428,2.0914505,3.7226694,9.570564
2019-12-15 12:33:06,454,2.975433,2.6567185,8.910595
2019-12-15 12:33:06,478,4.13591,3.0763462,7.1036496
2019-12-15 12:33:06,504,3.902325,4.6292315,7.033535
2019-12-15 12:33:06,528,3.6008909,3.5909576,7.643772
2019-12-15 12:33:06,553,3.118132,3.3341022,7.7855525
2019-12-15 12:33:06,578,1.7480901,4.6205807,7.393966
2019-12-15 12:33:06,604,-1.04605,6.376752,6.585793
2019-12-15 12:33:06,628,-1.7681693,5.120605,5.148549
2019-12-15 12:33:06,654,1.9382756,2.9025013,5.0616384
2019-12-15 12:33:06,678,1.8050051,1.7373978,6.5859065
2019-12-15 12:33:06,703,2.6652484,-0.30294883,6.114464
2019-12-15 12:33:07,729,6.8430977,1.3412856,4.771002
2019-12-15 12:33:07,753,7.5251503,0.54699546,4.232825
2019-12-15 12:33:07,778,5.090511,-0.33069563,4.6589475
2019-12-15 12:33:07,805,5.3903413,-0.90944386,1.6791329
2019-12-15 12:33:07,828,5.870851,-1.7227833,-0.33177683
2019-12-15 12:33:07,853,7.0819745,-1.3883984,0.975634
2019-12-15 12:33:07,879,8.97518,-2.7716255,2.3730824
2019-12-15 12:33:07,903,10.075304,-3.1452749,2.8316088
2019-12-15 12:33:07,928,10.426731,-4.2422414,1.0965339
2019-12-15 12:33:07,953,9.548477,-5.99628,-1.1476309
2019-12-15 12:33:07,979,14.063918,-7.1017256,1.6552955
2019-12-15 12:33:07,1003,14.476877,-7.6480513,2.9406471
2019-12-15 12:33:07,1028,13.99585,-8.167053,2.2708354
2019-12-15 12:33:07,1054,16.138144,-7.924145,2.6298246
2019-12-15 12:33:07,1078,16.153883,-7.32801,2.3606763
2019-12-15 12:33:07,1103,16.960167,-6.8407536,3.1156008
2019-12-15 12:33:07,1128,17.058453,-5.6524076,3.525774
2019-12-15 12:33:07,1154,16.736645,-4.2353344,2.4468412
2019-12-15 12:33:07,1178,16.24809,-3.0240173,0.8051216
2019-12-15 12:33:07,1203,15.200846,-2.0323575,-0.50538117
2019-12-15 12:33:07,1228,14.504245,-1.3326707,-0.25534475
2019-12-15 12:33:07,1254,13.766598,-1.0336773,-0.03910249
2019-12-15 12:33:07,1278,11.870599,-0.9974864,0.005569505
2019-12-15 12:33:07,1304,10.199836,-1.3546433,-0.12719388
2019-12-15 12:33:07,1328,8.85792,-1.5434262,-0.52898526
2019-12-15 12:33:07,1353,8.882635,-1.2808723,-0.6740673
2019-12-15 12:33:07,1379,10.269666,-1.3740835,-0.9465829
2019-12-15 12:33:07,1403,10.893731,-1.5143014,-1.0186392
2019-12-15 12:33:07,1428,11.471954,-1.288992,-0.8914338
2019-12-15 12:33:07,1457,13.418163,-1.4811615,-0.39814806
2019-12-15 12:33:07,1478,15.974824,-2.0667145,-0.4128958
2019-12-15 12:33:07,1504,17.076561,-2.7350104,0.56456596
2019-12-15 12:33:07,1528,17.569576,-3.1298847,1.8907914
2019-12-15 12:33:07,1553,18.75435,-3.6776333,1.4671694
2019-12-15 12:33:07,1578,21.022999,-4.084874,0.8234138
2019-12-15 12:33:07,1604,21.066244,-5.342007,-0.12645666
2019-12-15 12:33:07,1628,20.282804,-6.4484596,-0.14143713
2019-12-15 12:33:07,1653,20.020563,-6.553246,0.8550856
2019-12-15 12:33:07,1678,19.776638,-6.1578074,0.27709043
2019-12-15 12:33:07,1704,18.514536,-6.6905756,-0.61514133
2019-12-15 12:33:08,1728,16.360815,-7.392519,-0.4879813
2019-12-15 12:33:08,1753,13.470486,-7.43597,-0.19177562
2019-12-15 12:33:08,1778,11.177624,-6.78188,-0.74127764
2019-12-15 12:33:08,1803,9.006127,-5.7277184,-1.3432857
2019-12-15 12:33:08,1829,7.2935443,-4.927252,-1.2810352
2019-12-15 12:33:08,1853,5.6322045,-3.9745886,-1.6965767
2019-12-15 12:33:08,1878,4.6056633,-3.2204843,-1.872389
2019-12-15 12:33:08,1903,3.2709565,-2.6218348,-1.968821
2019-12-15 12:33:08,1929,2.128372,-2.4275677,-1.271658
2019-12-15 12:33:08,1953,1.2462001,-2.3421388,-0.38130206
2019-12-15 12:33:08,1979,0.48612714,-2.2348125,-0.36743805
2019-12-15 12:33:08,2003,0.04600446,-2.2211597,-1.4097677
2019-12-15 12:33:08,2028,-0.051022213,-2.403906,-1.3233157
2019-12-15 12:33:08,2053,0.30523834,-2.6432018,-0.40493634
2019-12-15 12:33:08,2079,1.4216241,-2.5583274,-0.26947427
2019-12-15 12:33:08,2103,2.9391043,-2.689382,-1.0475188
2019-12-15 12:33:08,2128,4.5844316,-2.8845198,-1.9504783
2019-12-15 12:33:08,2153,6.7341056,-3.193489,-2.1188288
2019-12-15 12:33:08,2179,9.472681,-3.902556,-1.3544186
2019-12-15 12:33:08,2203,13.158916,-4.9905186,-0.9916374
2019-12-15 12:33:08,2228,15.629075,-6.3188477,-3.2909172
2019-12-15 12:33:08,2254,18.489477,-7.301069,-4.118236
2019-12-15 12:33:08,2278,20.108086,-7.8151274,-1.2028018
2019-12-15 12:33:08,2303,20.915657,-8.117202,0.7476069
2019-12-15 12:33:08,2328,22.030052,-7.098693,1.319473
2019-12-15 12:33:08,2354,21.166069,-5.2101197,1.440767
2019-12-15 12:33:08,2378,19.119808,-4.224292,0.8337545
2019-12-15 12:33:08,2403,18.201183,-3.5404975,0.84586805
2019-12-15 12:33:08,2429,17.491264,-2.7905781,0.9916204
2019-12-15 12:33:08,2454,17.52787,-1.2996898,-0.47951752
2019-12-15 12:33:08,2478,16.400402,-0.20697911,0.5761532
2019-12-15 12:33:08,2503,14.743617,1.0950305,2.5322764
2019-12-15 12:33:08,2528,13.93288,2.1414533,1.6281283
2019-12-15 12:33:08,2553,12.684512,2.97064,-0.53382057
2019-12-15 12:33:08,2582,12.558277,3.5044968,-0.75469595
2019-12-15 12:33:08,2603,12.0228195,3.7182639,-0.861921
2019-12-15 12:33:08,2628,11.5543785,3.709087,0.50941455
2019-12-15 12:33:08,2653,12.157092,3.1816878,0.79521924
2019-12-15 12:33:08,2679,12.906535,2.4131417,0.40501928
2019-12-15 12:33:08,2703,13.857268,1.7986393,1.1175935
2019-12-15 12:33:09,2728,15.206475,1.2151892,1.7716137
2019-12-15 12:33:09,2753,16.730164,0.122556314,1.6330024
2019-12-15 12:33:09,2778,18.1457,-0.8974258,1.7224166
2019-12-15 12:33:09,2804,19.73225,-2.2787247,1.8062444
2019-12-15 12:33:09,2828,21.44543,-3.4414675,1.7733742
2019-12-15 12:33:09,2853,22.627127,-4.8202634,0.028280782
2019-12-15 12:33:09,2878,22.944386,-5.97532,-1.6148444
2019-12-15 12:33:09,2904,23.180283,-6.067935,-0.96444434
2019-12-15 12:33:09,2929,22.119682,-5.7054033,-0.750023
2019-12-15 12:33:09,2953,19.603445,-4.4421854,-0.76706517
2019-12-15 12:33:09,2978,17.398558,-4.177883,-0.83073866
2019-12-15 12:33:09,3003,14.457332,-5.308206,-2.0493398
2019-12-15 12:33:09,3029,11.820897,-5.961444,-2.3274527
2019-12-15 12:33:09,3053,9.495252,-5.221269,-0.5250125
2019-12-15 12:33:09,3078,8.285557,-4.381077,-0.2238123
2019-12-15 12:33:09,3103,7.0032783,-3.795711,-0.2907776
2019-12-15 12:33:09,3128,4.947703,-3.3347797,-0.5567528
2019-12-15 12:33:09,3154,3.3799572,-2.715908,-1.5430806
2019-12-15 12:33:09,3178,2.4060266,-2.319586,-1.1880304
2019-12-15 12:33:09,3203,1.8137914,-2.350771,-0.02462602
2019-12-15 12:33:09,3228,1.2291662,-2.401068,0.59515285
2019-12-15 12:33:09,3254,0.7682521,-2.3815913,-0.12912603
2019-12-15 12:33:09,3278,-0.22067215,-2.5191083,-1.0323275
